Aktien_id;Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2;2023-01-12;11.76;11.81;11.702;11.798;1031800;12131669
2;2023-01-11;11.724;11.812;11.61;11.698;7080438;83077305
2;2023-01-10;11.634;11.708;11.542;11.656;6334552;73671483
2;2023-01-09;11.602;11.764;11.588;11.714;8536936;99689852
2;2023-01-06;11.498;11.624;11.362;11.596;9616404;111002726
2;2023-01-05;11.706;11.71;11.424;11.494;10433214;120146782
2;2023-01-04;11.11;11.74;11.10;11.698;14036108;162451167
2;2023-01-03;10.90;11.138;10.87;11.112;8306776;92032573
2;2023-01-02;10.64;10.996;10.64;10.942;5904673;64402163
2;2022-12-30;10.67;10.68;10.588;10.588;3179716;33741474
2;2022-12-29;10.59;10.722;10.558;10.704;3979910;42458325
2;2022-12-28;10.744;10.744;10.594;10.63;3598372;38295640
2;2022-12-27;10.75;10.786;10.672;10.71;3160258;33853825
2;2022-12-23;10.672;10.728;10.608;10.706;3388365;36182005
2;2022-12-22;10.682;10.788;10.61;10.636;7529879;80594137
2;2022-12-21;10.552;10.714;10.326;10.644;8155800;86427548
2;2022-12-20;9.868;10.508;9.858;10.508;14956743;154888795
2;2022-12-19;9.90;10.034;9.886;9.938;5155022;51325977
2;2022-12-16;9.70;9.94;9.689;9.905;18360826;180925857
2;2022-12-15;10.00;10.038;9.679;9.713;13152769;128796057
2;2022-12-14;10.26;10.286;10.078;10.086;6248735;63297878
2;2022-12-13;10.084;10.294;10.048;10.248;8755542;89313869
2;2022-12-12;10.086;10.144;9.944;10.01;4997210;50143666
2;2022-12-09;10.05;10.146;9.934;10.14;6945486;69936042
2;2022-12-08;9.964;10.082;9.923;10.022;5573833;55766340
2;2022-12-07;10.012;10.084;9.937;9.966;6879955;68794909
2;2022-12-06;10.14;10.178;9.993;10.072;7514624;75749614
2;2022-12-05;10.18;10.298;10.136;10.15;8574648;87560377
2;2022-12-02;9.901;10.05;9.832;10.024;6972588;69528453
2;2022-12-01;10.182;10.214;9.905;9.905;9702468;96986159
2;2022-11-30;10.25;10.298;10.064;10.122;8038077;81515484
2;2022-11-29;10.282;10.288;10.094;10.21;4868105;49644186
2;2022-11-28;10.302;10.348;10.206;10.206;5924357;60800534
2;2022-11-25;10.50;10.616;10.33;10.39;7963727;83140366
2;2022-11-24;10.248;10.416;10.244;10.37;5644328;58384483
2;2022-11-23;10.212;10.246;10.174;10.226;6322090;64576856
2;2022-11-22;10.192;10.236;10.13;10.168;5604590;57074735
2;2022-11-21;10.15;10.28;10.15;10.218;6870303;70140303
2;2022-11-18;10.148;10.212;10.10;10.212;13274434;135020308
2;2022-11-17;10.162;10.21;9.946;10.10;5452795;54866539
2;2022-11-16;10.264;10.32;10.116;10.134;8055010;81926610
2;2022-11-15;10.162;10.428;10.162;10.316;10517381;108461704
2;2022-11-14;10.214;10.346;10.126;10.178;7329376;74814671
2;2022-11-11;10.06;10.318;10.01;10.218;14581534;148715459
2;2022-11-10;9.658;10.028;9.611;9.964;12473082;123483653
2;2022-11-09;9.872;9.946;9.593;9.693;10202874;99028166
2;2022-11-08;9.759;9.871;9.731;9.871;6350854;62371471
2;2022-11-07;9.661;9.907;9.645;9.766;7553470;73882650
2;2022-11-04;9.739;9.846;9.614;9.726;9840712;95801439
2;2022-11-03;9.815;9.841;9.586;9.669;6467970;62526762
2;2022-11-02;9.779;9.868;9.738;9.793;6777249;66352010
2;2022-11-01;9.724;9.863;9.706;9.728;7278279;71154191
2;2022-10-31;9.85;9.892;9.635;9.66;10031583;97450660
2;2022-10-28;9.74;9.893;9.696;9.826;9506676;93104993
2;2022-10-27;9.35;9.91;9.35;9.856;20602859;198993055
2;2022-10-26;9.413;9.488;9.07;9.377;14405725;133708436
2;2022-10-25;9.20;9.266;9.107;9.266;10904268;100173874
2;2022-10-24;9.00;9.258;8.925;9.117;10989972;100124809
2;2022-10-21;8.854;8.932;8.713;8.896;15737461;139321847
2;2022-10-20;8.85;8.96;8.778;8.929;5764132;51285782
2;2022-10-19;8.88;9.012;8.812;8.887;11245593;100408907
2;2022-10-18;8.663;8.984;8.648;8.853;13475346;119533236
2;2022-10-17;8.643;8.72;8.498;8.63;11973260;103317803
2;2022-10-14;8.584;8.807;8.476;8.611;20234820;174590963
2;2022-10-13;7.789;8.433;7.737;8.36;18140608;147463704
2;2022-10-12;7.756;7.826;7.596;7.788;9289863;71859901
2;2022-10-11;7.897;7.897;7.687;7.778;10278114;79842744
2;2022-10-10;7.765;8.145;7.756;7.964;10330624;82764410
2;2022-10-07;7.84;7.99;7.766;7.822;7882187;62056516
2;2022-10-06;7.981;8.051;7.848;7.867;8334226;65911732
2;2022-10-05;8.127;8.14;7.901;7.934;10868838;86887261
2;2022-10-04;7.705;8.07;7.676;8.07;12496377;98770687
2;2022-10-03;7.456;7.687;7.249;7.63;13941136;104328450
2;2022-09-30;7.615;7.734;7.517;7.646;10709219;81691245
2;2022-09-29;7.776;7.81;7.461;7.594;13505184;102362498
2;2022-09-28;8.001;8.019;7.476;7.854;24709992;191259209
2;2022-09-27;8.519;8.587;8.128;8.128;15219822;126056001
2;2022-09-26;8.512;8.648;8.446;8.491;9090399;77673242
2;2022-09-23;9.04;9.04;8.601;8.632;15245531;133389134
2;2022-09-22;8.692;9.324;8.656;9.033;16358469;148556820
2;2022-09-21;8.863;8.91;8.712;8.819;9398940;82790655
2;2022-09-20;9.156;9.283;8.97;8.982;8392094;76049595
2;2022-09-19;9.042;9.145;8.942;9.095;7241546;65525378
2;2022-09-16;9.118;9.154;8.978;9.069;20538411;186215529
2;2022-09-15;9.05;9.299;9.05;9.232;13949593;128385826
2;2022-09-14;8.996;9.144;8.916;9.02;9076547;82017363
2;2022-09-13;9.221;9.291;8.934;9.024;11060750;100626094
2;2022-09-12;9.01;9.278;9.01;9.216;12116664;111408716
2;2022-09-09;8.71;8.978;8.706;8.932;12474008;110960319
2;2022-09-08;8.28;8.718;8.272;8.65;18432601;156116396
2;2022-09-07;8.264;8.34;8.028;8.195;11249328;91753864
2;2022-09-06;8.236;8.44;8.218;8.358;9194142;76729349
2;2022-09-05;8.266;8.28;8.04;8.181;11197994;91197533
